,id,trd_latest,over_trd_latest_mean
0,U000101,57,1
1,U00015C,51,0
2,U0001B8,59,1
3,U00025B,60,1
4,U000437,58,1
5,U000CDC,54,1
6,U00139F,51,0
7,U00148A,60,1
8,U0015B2,60,1
9,U0016B5,38,0
10,U0016FF,56,1
11,U001910,34,0
12,U001945,60,1
13,U001B15,27,0
14,U001B44,31,0
15,U001DA6,55,1
16,U001DAE,7,0
17,U001DE7,15,0
18,U00239F,51,0
19,U002765,54,1
20,U00297F,60,1
21,U002C86,51,0
22,U0031ED,59,1
23,U00332D,11,0
24,U0033A7,56,1
25,U0034E3,46,0
26,U0035E2,46,0
27,U003BBF,60,1
28,U003D87,57,1
29,U003D94,60,1
30,U003FA7,51,0
31,U0041D1,45,0
32,U004271,1,0
33,U0043E8,58,1
34,U004563,31,0
35,U004588,31,0
36,U004706,13,0
37,U004963,54,1
38,U004D2C,56,1
39,U004DB9,51,0
40,U004E0E,48,0
41,U0052A2,58,1
42,U005512,57,1
43,U005632,60,1
44,U00574F,51,0
45,U005D0E,59,1
46,U005D7E,51,0
47,U006208,39,0
48,U006932,31,0
49,U006ADD,58,1
50,U006CF1,60,1
51,U006D05,60,1
52,U007045,51,0
53,U0072DB,60,1
54,U00733E,58,1
55,U007361,34,0
56,U007489,28,0
57,U007577,51,0
58,U007594,19,0
59,U0075CC,53,1
60,U0077CF,60,1
61,U007807,59,1
62,U007BCC,58,1
63,U007C01,51,0
64,U007CC9,57,1
65,U007CFD,60,1
66,U008046,60,1
67,U008236,59,1
68,U008474,51,0
69,U0087B7,43,0
70,U0088ED,56,1
71,U008DAF,60,1
72,U008F15,44,0
73,U008FD5,51,0
74,U0091D4,57,1
75,U0091D6,60,1
76,U0096B7,58,1
77,U009AC4,60,1
78,U009C8A,59,1
79,U009D4A,60,1
80,U009F7F,60,1
81,U00A1C2,58,1
82,U00AE00,51,0
83,U00AF0A,58,1
84,U00AFA6,51,0
85,U00B050,60,1
86,U00B774,57,1
87,U00B794,43,0
88,U00B7A5,56,1
89,U00B9F9,31,0
90,U00BBA7,60,1
91,U00BD2D,26,0
92,U00BFC5,55,1
93,U00C898,56,1
94,U00CBC0,57,1
95,U00CDA7,57,1
96,U00CEC4,60,1
97,U00CFBB,51,0
98,U00CFF7,60,1
99,U00D2BE,59,1
100,U00D3F6,31,0
101,U00D5BF,51,0
102,U00DBDB,59,1
103,U00DCAA,48,0
104,U00DD4A,55,1
105,U00DDA6,13,0
106,U00DEC9,59,1
107,U00DED7,60,1
108,U00DF75,60,1
109,U00E136,60,1
110,U00E22E,60,1
111,U00E588,60,1
112,U00E5C6,60,1
113,U00E714,55,1
114,U00EBD3,49,0
115,U00ED13,57,1
116,U00EDC5,58,1
117,U00F176,58,1
118,U00F26F,60,1
119,U00F410,57,1
120,U00F4FC,60,1
121,U00F52C,60,1
122,U00F7EC,60,1
123,U00FB73,40,0
124,U00FC14,52,1
125,U00FC80,51,0
126,U010374,59,1
127,U0108BA,60,1
